,name,ownerAddress,breedCount,pegaTotalRaces,speed,strength,wind,fire,water,lightning,gender,bloodLine,breedType,winRate,win,lose,avg_position,firt_places,second_places,third_places,total_rewards
0,RyÅ«jin,0x42aB133871fA8b4AF29efC4D1daAdC14818df661,1,274,0.21,0.86,3.98,5.48,2.73,1.3,Male,Zan,Rare,0.17,47,227,8.03,5,5,10,1005
0,Syelo | Rank X,0xC21d3c21B2B5ED2f78403E1c4ed55ac0541Bf0e3,3,259,5.37,8.77,7.01,4.68,0.22,5.35,Male,Hoz,Pacer,0.12,31,228,9.34,1,2,8,401
0,Catalina ,0x4185D36FcC78dB0E7Bdc28705046b6B23CcDAce8,3,275,5.62,5.95,3.06,3.09,1.93,6.39,Male,Campona,Epic,0.17,46,229,7.96,4,5,8,848
0,Pasto,0x6788091CcCC454Fe821991Fbd71a2DA48922bd87,3,273,8.96,4.78,7.09,1.29,8.96,4.31,Male,Hoz,Pacer,0.28,77,196,6.94,13,10,7,1987
0,EthanTheMan,0x36bBa152f5b884Ee39AF86bE92EbCFD394181c83,3,270,1.04,4.44,1.92,4.42,6.3,4.42,Male,Campona,Pacer,0.21,58,212,8.17,4,6,3,762
0,Community Friends,0x8552950c5Ff9525a4f04C99817341d6b0f9894D9,3,271,8.06,1.24,1.35,6.75,0.94,7.37,Female,Hoz,Pacer,0.42,113,158,5.6,39,9,3,4569
0,ZGD Olymbros,0xb3a7f28C1A3bB1E93fE7Da8dba4dD6b70C17FD02,3,277,7.94,6.56,1.63,1.91,3.46,7.0,Male,Hoz,Pacer,0.15,41,236,8.88,4,4,5,726
0,NOVACHRONO,0xDbdD94663b710Aa447b7d73992983c987830e0Ee,3,244,4.48,5.07,4.84,7.48,2.17,5.3,Female,Zan,Rare,0.18,45,199,8.26,3,7,8,831
0,LGâLAW,0xcAD9DED283D0FECa823BCE19A10da533b6FeB8F6,3,276,4.57,6.53,5.17,8.35,5.65,3.68,Male,Klin,Legendary,0.21,59,217,7.16,4,10,8,1068
0,OTT.Humpback,0xbCaE711cD25a30a75d44B38Bc623Fee4F4AB9A36,7,120,4.12,0.09,7.61,6.58,7.99,1.69,Female,Campona,Founding,0.3,36,84,6.77,17,9,7,2363
0,Jamie River Kwai FLAG,0x449a3b874B25fD53F2766Ee9F7194190BDb44272,2,283,5.37,3.06,5.05,8.8,6.35,2.07,Female,Campona,Pacer,0.26,74,209,5.82,9,5,15,1555
0,Kel Thuzad,0x1df3Ed50F5177851845821e6a7Ad0fea79FCAA2e,2,274,0.14,6.02,0.04,0.61,6.04,3.94,Male,Hoz,Pacer,0.18,49,225,7.82,5,3,9,891
0,Harley Flatley,0x4185D36FcC78dB0E7Bdc28705046b6B23CcDAce8,3,270,5.96,0.13,5.32,4.28,4.12,8.31,Female,Hoz,Pacer,0.37,100,170,5.1,28,11,12,3736
0,Steria | Neckdeep,0x01ba6761B60b39634a8490AEC4bc454a94f8c9e7,3,283,1.77,4.19,4.99,2.35,3.07,2.66,Male,Klin,Epic,0.17,47,236,7.72,2,8,4,666
0,0xPRiME009,0x3c0aDD731dB906FbaFF28606EF80f31a2E7368fe,3,219,3.58,6.94,7.99,1.91,2.61,0.47,Female,Campona,Legendary,0.22,49,170,8.96,9,3,9,1311
0,Eryx,0xdd60C0a43475C15278777B43DCD257b9b2505dc9,2,265,1.85,0.37,3.61,0.96,3.02,2.96,Male,Zan,Legendary,0.19,50,215,7.52,3,7,5,753
0,VP | PocotÃ³,0xE4C59456e2C386d982d6B9C33681D8a4cc56Cd6D,2,281,3.76,7.16,1.01,0.94,8.01,4.2,Male,Klin,Pacer,0.23,64,217,7.46,11,9,7,1733
0,Mira#53,0x775d437266975D74274d8da3AcaAC15a8AA7df34,3,280,8.81,7.36,1.34,5.37,7.28,3.84,Female,Hoz,Pacer,0.14,38,242,8.37,3,3,5,577
0,SLS | 26 | Lexie Cruickshank,0x44C8F3c5c018a6E5ff26717A2A6Cd95A1746E9af,3,239,8.25,1.9,2.3,5.8,0.69,0.96,Female,Hoz,Pacer,0.37,89,150,5.53,15,12,11,2389
0,TAG | Pega 000,0x8Dcf01028dB201a3848c15b708A5b3c0591F75fA,3,285,4.26,7.09,1.9,6.79,8.01,0.74,Female,Hoz,Pacer,0.26,73,212,6.49,8,9,15,1626
0,P85-PZG,0x1A9E548AaF3366d1AF0D79480585a32EE47CEfeD,2,270,5.3,5.86,0.02,0.65,3.88,8.29,Male,Hoz,Pacer,0.22,59,211,8.28,6,9,6,1182
0,Leena te Gasruk,0x1e76fB3F7Be9108150Dc0B6b68b7b68BB7b54104,3,284,3.83,4.53,3.64,3.88,3.62,0.82,Female,Klin,Pacer,0.27,77,207,7.64,4,8,7,954
0,sanfour,0xCFca2431B87F1581D112509794fFffb1216a7939,3,272,5.31,4.16,0.93,0.0,0.69,7.24,Male,Campona,Pacer,0.26,72,200,8.24,12,8,6,1768
0,Babieca,0x6C8DAC58d35F630FCC37e4CEC4d0CbD6CF849E85,5,239,4.18,3.09,7.4,3.27,0.5,1.03,Male,Klin,Founding,0.25,60,179,7.6,11,9,4,1655
0,â¯   àºiàº   â¯	,0x932CE20723282e0c38dfff14d757B31F284e14A2,1,248,7.46,4.1,0.55,2.01,6.92,3.21,Male,Klin,Pacer,0.31,77,171,6.8,6,9,11,1312
0,NCNL 31,0x6acA6Bf0e0aB71E7C1156a40f4B0C579A1ABac15,3,273,7.56,1.12,1.94,0.12,2.78,8.16,Female,Hoz,Pacer,0.44,120,153,4.69,39,11,6,4735
0,TND Pega #19,0x310431D63D2A13cFB96B30E62747a2BE0E205274,3,271,6.74,5.77,3.08,1.28,8.27,3.11,Female,Zan,Pacer,0.25,67,204,7.58,8,7,6,1304
0,DC | P60,0x1aBD86fDa311862c0FAC152D25B5d98b74c9Fc45,3,256,2.39,4.08,3.89,1.89,4.35,0.59,Male,Klin,Pacer,0.2,52,204,7.69,8,1,8,1092
0,WC | The Real OG,0x6b9501217fB33224124908ACF8996c4eD35cdDcB,2,275,0.68,3.0,8.92,1.98,7.54,1.09,Male,Campona,Pacer,0.3,82,193,8.56,16,9,11,2362
0,ayakacute  |  TGO,0x46926638E272af7468dB027eB6165630a0Edb211,2,262,8.1,0.29,4.97,7.96,2.34,8.28,Male,Klin,Pacer,0.42,111,151,5.05,31,13,7,4009
0,TOYA NAMATWINTI | KLT,0xE6643eeb5cbFD2923C125BdcCd0612295adB392A,3,224,3.47,6.94,6.18,7.95,6.38,4.17,Male,Hoz,Pacer,0.14,32,192,8.15,1,5,5,455
0,Guns N' Roses,0x2eE92c7E527A194BED52BA6C04FFd452ec6F700e,3,267,7.38,8.8,5.11,6.69,6.71,4.52,Female,Klin,Epic,0.1,28,239,8.92,1,1,4,253
0,Jason | Project Infinity #42,0x858c3b671E6E45efcFCf4B470Aa13F7161c4263C,3,266,6.33,3.37,4.94,3.42,7.38,6.81,Male,Campona,Pacer,0.26,68,198,6.15,15,6,12,2151
0,13 | FS,0x0181743037e03956041C883C917bEBeD23333F3d,0,264,7.44,0.24,3.44,7.77,5.93,6.2,Male,Klin,Epic,0.48,128,136,3.34,27,15,18,3963
0,Myspace,0xa1EA2101752E4d9526c0C53D33D5C65B7AB68c82,3,274,5.48,4.06,5.94,1.3,7.88,8.94,Male,Campona,Pacer,0.27,73,201,7.19,15,7,10,2143
0,Populis #5 | RDG,0xDDdaf740CA61F812501e581224bAe75Be9F25c60,2,278,1.9,0.2,4.23,8.83,2.31,7.72,Male,Klin,Rare,0.27,76,202,8.01,12,8,10,1872
0,Pluto,0xEb39A9CFDC1bfC939e66D5B8Dd1Aa21Eaa0C42DF,6,265,7.86,7.21,3.24,6.56,6.23,7.84,Female,Klin,Founding,0.17,44,221,8.43,2,3,5,472
0,syzygy #305 | Real Deal,0x655a775c20067208b206f7024227D2dD5A41d715,2,272,2.12,8.58,5.93,0.81,1.29,0.53,Female,Zan,Pacer,0.18,49,223,9.68,5,6,5,919
0,KRYPTONITE  ,0x6537cC5c91362Bf8B0595452747CbB58AbeE49B4,3,277,0.63,0.65,8.35,7.29,8.06,6.95,Female,Zan,Epic,0.13,37,240,8.48,4,5,5,770
0,War Machine | ZDG,0xED0FA50a8F700C8454781068AB080Eef5Df8b466,3,271,0.59,6.98,8.05,0.69,1.18,1.18,Male,Campona,Pacer,0.21,57,214,8.2,7,12,6,1419
0,Randal Wiegand,0x4c31a51a805d0F2c5c29E619e25b209e1090aaF8,3,200,1.75,4.11,3.3,3.43,0.79,6.69,Male,Zan,Pacer,0.2,40,160,8.24,9,7,6,1409
0,Phenom 100,0x452bC1D9f91d35954e7e14D8527F7a5A9b26c0b3,3,285,1.49,3.63,1.05,5.24,5.69,3.02,Male,Klin,Rare,0.22,63,222,6.98,3,8,11,953
0,Nebula 9,0x10822352Bc5826277a1CaAbE501B18e72C08bc91,3,265,0.69,3.99,5.95,5.34,6.3,3.17,Female,Hoz,Pacer,0.15,39,226,7.86,6,3,6,918
0,Karli Kub,0xCFD70830CdAd7D29862F2Cd44b76Fd89E5319871,3,273,5.83,2.25,4.22,0.95,6.18,6.87,Male,Hoz,Pacer,0.26,72,201,5.93,13,10,11,2091
0,Phoenix 1825 Qilin,0x1760B4AF7680972e39Abdf4B93A39AcB0D0a6653,3,257,4.04,7.5,2.0,7.11,3.8,5.02,Male,Hoz,Pacer,0.14,36,221,8.51,2,6,7,656
